date,price,open,high,low,change %
2021-10-29,0.2414,0.2414,0.2416,0.2412,0.22%
2021-10-28,0.2409,0.2409,0.2411,0.2402,0.10%
2021-10-27,0.2406,0.2411,0.2412,0.2406,-0.19%
2021-10-26,0.2411,0.2409,0.2413,0.2408,0.13%
2021-10-25,0.2408,0.2407,0.241,0.2406,-0.04%
2021-10-22,0.2409,0.2404,0.241,0.2404,0.20%
2021-10-21,0.2404,0.2405,0.2408,0.2403,0.07%
2021-10-20,0.2402,0.2401,0.2409,0.24,0.25%
2021-10-18,0.2396,0.2405,0.2407,0.2397,-0.32%
2021-10-15,0.2404,0.2407,0.2407,0.2403,-0.11%
2021-10-14,0.2406,0.241,0.241,0.2406,0.13%
2021-10-13,0.2403,0.24,0.2405,0.24,0.17%
2021-10-12,0.2399,0.2397,0.2402,0.2393,0.10%
2021-10-11,0.2397,0.2392,0.2401,0.2392,0.19%
2021-10-08,0.2392,0.2393,0.2393,0.2391,0.12%
2021-10-07,0.2389,0.2391,0.2394,0.239,0.03%
2021-10-06,0.2389,0.2393,0.2394,0.2388,-0.14%
2021-10-05,0.2392,0.2396,0.2397,0.2391,-0.10%
2021-10-04,0.2395,0.2395,0.2398,0.2393,0.12%
2021-10-01,0.2392,0.2392,0.2394,0.2386,0.17%
2021-09-30,0.2388,0.2384,0.239,0.2383,-0.05%
2021-09-29,0.2389,0.2389,0.2391,0.2385,-0.03%
2021-09-28,0.2389,0.2388,0.2393,0.2386,0.11%
2021-09-27,0.2387,0.2386,0.2391,0.2386,0.00%
2021-09-24,0.2387,0.2391,0.2395,0.2387,-0.15%
2021-09-23,0.239,0.2385,0.2393,0.238,0.24%
2021-09-22,0.2384,0.2389,0.2391,0.2385,-0.19%
2021-09-21,0.2389,0.2385,0.239,0.2385,0.21%
2021-09-20,0.2384,0.2397,0.2397,0.2385,-0.53%
2021-09-17,0.2396,0.2401,0.2404,0.2394,-0.31%
2021-09-15,0.2404,0.2405,0.2406,0.24,0.10%
2021-09-14,0.2402,0.2411,0.2412,0.2403,-0.29%
2021-09-13,0.2409,0.2413,0.2414,0.2409,-0.34%
2021-09-10,0.2417,0.2412,0.2421,0.241,0.29%
2021-09-09,0.241,0.2407,0.2413,0.2407,0.14%
2021-09-08,0.2406,0.2404,0.2407,0.2404,0.02%
2021-09-07,0.2406,0.2411,0.2412,0.2405,-0.17%
2021-09-06,0.241,0.2413,0.2414,0.2411,-0.02%
2021-09-03,0.241,0.2407,0.2413,0.2406,0.27%
2021-09-02,0.2404,0.241,0.2412,0.2402,-0.12%
2021-09-01,0.2407,0.2405,0.2413,0.2404,0.06%
2021-08-31,0.2405,0.2405,0.2405,0.2405,0.04%
2021-08-30,0.2404,0.2391,0.2406,0.2391,0.79%
2021-08-27,0.2386,0.2384,0.2387,0.238,0.12%
2021-08-26,0.2383,0.238,0.2388,0.238,0.27%
2021-08-25,0.2376,0.2373,0.2379,0.2369,0.28%
2021-08-24,0.237,0.2369,0.2372,0.2365,0.19%
2021-08-23,0.2365,0.2362,0.2368,0.2361,0.26%
2021-08-20,0.2359,0.2358,0.236,0.2356,0.00%
2021-08-19,0.2359,0.2358,0.236,0.2357,0.00%
2021-08-18,0.2359,0.236,0.2364,0.2357,0.00%
2021-08-17,0.2359,0.2358,0.236,0.2358,0.00%
2021-08-16,0.2359,0.236,0.2363,0.2356,0.00%
2021-08-13,0.2359,0.2362,0.2362,0.236,-0.10%
2021-08-12,0.2361,0.2359,0.2363,0.2359,0.17%
2021-08-11,0.2357,0.2361,0.2362,0.2358,-0.26%
2021-08-09,0.2363,0.2369,0.2369,0.2364,-0.24%
2021-08-06,0.2369,0.2371,0.2375,0.2369,-0.03%
2021-08-05,0.237,0.2367,0.2375,0.2366,0.10%
2021-08-04,0.2367,0.2366,0.2371,0.2363,-0.03%
2021-08-03,0.2368,0.2367,0.2369,0.2366,0.08%
2021-08-02,0.2366,0.2369,0.2369,0.2366,-0.11%
2021-07-30,0.2368,0.2361,0.237,0.2358,0.42%
2021-07-29,0.2359,0.2365,0.2369,0.2359,-0.07%
2021-07-28,0.236,0.2363,0.2366,0.2361,-0.08%
2021-07-27,0.2362,0.2365,0.2366,0.2362,0.00%
2021-07-26,0.2362,0.2367,0.2368,0.2363,-0.12%
2021-07-23,0.2365,0.2368,0.2368,0.2363,-0.08%
2021-07-22,0.2367,0.2359,0.2369,0.2359,0.25%
2021-07-21,0.2361,0.2364,0.2365,0.2357,-0.19%
2021-07-19,0.2366,0.238,0.238,0.2367,-0.36%
2021-07-16,0.2374,0.238,0.2381,0.2375,-0.19%
2021-07-15,0.2379,0.2383,0.2384,0.238,-0.05%
2021-07-14,0.238,0.2385,0.2385,0.238,-0.21%
2021-07-13,0.2385,0.2386,0.2388,0.2385,0.00%
2021-07-12,0.2384,0.2391,0.2391,0.2385,-0.05%
2021-07-09,0.2386,0.2396,0.2396,0.2385,-0.21%
2021-07-08,0.2391,0.2409,0.2409,0.2391,-0.45%
2021-07-07,0.2402,0.2411,0.2411,0.2402,-0.17%
2021-07-06,0.2406,0.2405,0.2412,0.2405,0.02%
2021-07-05,0.2405,0.2406,0.2411,0.2401,0.17%
2021-07-02,0.2401,0.2401,0.2403,0.24,-0.08%
2021-07-01,0.2403,0.2407,0.2408,0.2403,-0.20%
2021-06-30,0.2408,0.2414,0.2414,0.2406,0.00%
2021-06-29,0.2408,0.2411,0.2411,0.2405,-0.10%
2021-06-28,0.241,0.2404,0.2414,0.2404,0.22%
2021-06-25,0.2405,0.2405,0.2408,0.2403,0.10%
2021-06-24,0.2403,0.2402,0.2404,0.24,0.05%
2021-06-23,0.2402,0.241,0.241,0.2399,0.00%
2021-06-22,0.2402,0.241,0.2415,0.2403,-0.32%
2021-06-21,0.241,0.2414,0.2415,0.2408,-0.22%
2021-06-18,0.2415,0.2413,0.2417,0.2413,0.02%
2021-06-17,0.2414,0.242,0.2422,0.2414,-0.56%
2021-06-16,0.2428,0.2428,0.243,0.2427,0.00%
2021-06-15,0.2428,0.2431,0.2433,0.2428,-0.05%
2021-06-14,0.2429,0.2431,0.2432,0.243,-0.17%
2021-06-11,0.2433,0.2428,0.2435,0.2427,0.31%
2021-06-10,0.2426,0.2428,0.243,0.2427,-0.09%
2021-06-09,0.2428,0.2427,0.2429,0.2426,0.10%
2021-06-08,0.2425,0.2427,0.2428,0.2426,0.17%
2021-06-04,0.2421,0.242,0.2423,0.242,-0.12%
2021-06-03,0.2424,0.2426,0.2428,0.2424,0.05%
2021-06-02,0.2423,0.2424,0.2424,0.2421,0.05%
2021-06-01,0.2422,0.2425,0.243,0.2421,-0.05%
2021-05-31,0.2423,0.2417,0.2425,0.2412,0.19%
2021-05-28,0.2418,0.2415,0.242,0.2413,0.14%
2021-05-27,0.2415,0.2412,0.2417,0.2412,0.04%
2021-05-25,0.2414,0.2415,0.2419,0.2412,0.13%
2021-05-24,0.2411,0.2414,0.2418,0.2411,-0.12%
2021-05-21,0.2414,0.2415,0.2417,0.2411,0.05%
2021-05-20,0.2412,0.241,0.2416,0.241,-0.12%
2021-05-19,0.2415,0.2425,0.2425,0.2416,-0.29%
2021-05-18,0.2422,0.2421,0.2426,0.242,0.11%
2021-05-17,0.242,0.2421,0.2422,0.2417,-0.11%
2021-05-12,0.2422,0.2427,0.2428,0.242,-0.17%
