date,price,open,high,low,change %
2020-09-30,0.2405,0.2408,0.2408,0.2402,0.05%
2020-09-29,0.2404,0.2401,0.2405,0.2397,0.30%
2020-09-28,0.2396,0.2399,0.2401,0.2395,0.03%
2020-09-25,0.2396,0.2399,0.2402,0.2397,-0.07%
2020-09-24,0.2397,0.2404,0.2404,0.2397,-0.34%
2020-09-23,0.2406,0.2418,0.2418,0.2398,-0.48%
2020-09-22,0.2417,0.2424,0.2425,0.2416,-0.29%
2020-09-21,0.2424,0.2428,0.2435,0.2426,-0.20%
2020-09-18,0.2429,0.242,0.2432,0.242,0.61%
2020-09-17,0.2414,0.242,0.242,0.2411,-0.21%
2020-09-15,0.242,0.2416,0.2422,0.2414,0.36%
2020-09-14,0.2411,0.2408,0.2414,0.2406,0.19%
2020-09-11,0.2406,0.2401,0.2408,0.2401,0.24%
2020-09-10,0.24,0.24,0.2403,0.24,0.19%
2020-09-09,0.2396,0.2395,0.2398,0.2394,-0.10%
2020-09-08,0.2398,0.241,0.241,0.2399,-0.24%
2020-09-07,0.2404,0.2409,0.2411,0.2404,-0.20%
2020-09-04,0.2409,0.2409,0.2412,0.2409,-0.05%
2020-09-03,0.241,0.2412,0.2419,0.241,-0.02%
2020-09-02,0.241,0.2411,0.2413,0.2408,-0.10%
2020-09-01,0.2412,0.2398,0.2415,0.2398,0.61%
